"","x"
"1603","@KevinSpacey @netflix I‚Äôm waiting for my new season of House Of Cards"
"1604","@TheCancelBear Guess I'm in the minority (which isn't uncommon) liking @wisdomcbs and its sad seeing the likes of‚Ä¶ https://t.co/iIjR698456"
"1605","@OpenThePrimary @TraffickReport2 @TheHoneybee_ @brittswoo @WarriorforKids @Gruvedawg @MayFlowers90 @PaulyDeathwish‚Ä¶ https://t.co/LLAbhehgZS"
"1606","@KevinSpacey Wish you well and light in this time of darkness, we are with you a big hug and the best vibes today and always"
"1607","@Euskal_Pride @3cb9882c032b43e @TomSteyer @realDonaldTrump @LizCrokin @HillaryClinton @Imperator_Rex3 @johnpodesta‚Ä¶ https://t.co/9erSCItlfA"
"1608","Aasim Saeed: .. @KevinSpacey There is a 3rd kind of Pain now; it is called ""Teri Pain Di Sirri"" - for better unders‚Ä¶ https://t.co/HSesra0Y3p"
"1609",".@HouseofCards Production Hiatus Extended Following @KevinSpacey Exit - @RollingStone https://t.co/CRGz3pBJ3Z"
"1610","@ncose @netflix Right! What are you thinking @netflix? You get rid of sexual predator @KevinSpacey then premier a s‚Ä¶ https://t.co/vdZWtl6vGo"
"1611",".. @KevinSpacey There is a 3rd kind of Pain now; it is called ""Teri Pain Di Sirri"" - for better understanding pls c‚Ä¶ https://t.co/3MYYPP9taj"
"1612","did everyone forget that @kevinspacey is a pedophile?"
"1613","@KevinSpacey you‚Äôre a pedophile"
"1614","Did you know: @netflix FIRED @KevinSpacey for harrassement allegations... but RENEWED 'The Ranch' with‚Ä¶ https://t.co/4gfPtAvhdD"
"1615","@BillPeriman @MadAtAdam_ @davematt88 @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/Clc6WMWtrr"
"1616","@KevinSpacey found dead"
"1617","@BillPeriman @pcarenza @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/dzqlkWoxS1"
"1618","@davematt88 @pcarenza @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/fFkLk3gMjD"
"1619","@TheWantedEmcees @HangTraitors @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/m9sWsXpfPN"
"1620","@TheWantedEmcees @HangTraitors @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/g1HvIXAaeN"
"1621","Omg I FINALLY have a full day off!! Ì†ΩÌπåÌ†ºÌøº It almost feels like I‚Äôm playing hooky Ì†ΩÌ∏Ü So I‚Äôm #bingewatching #HouseOfCards‚Ä¶ https://t.co/oI1cyCpHBu"
"1622","@BillPeriman @pcarenza @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/TyIKJg3xpP"
"1623","@pcarenza @MadAtAdam_ @davematt88 @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/XfLEaVgTXW"
"1624","@KevinSpacey is Scum of the Earth https://t.co/7EoJwW3g2t via @YouTube"
"1625","Did any1 see @Eminem looking like @KevinSpacey ! I love both these guys. Kevin Spacey is such a great actor that in‚Ä¶ https://t.co/OFYhmywgsE"
"1626","@TheWantedEmcees @HangTraitors @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/2JBi6jJBxa"
"1627","@pcarenza @BillPeriman @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/ZsNZQxVaOD"
"1628","@BillPeriman @MadAtAdam_ @davematt88 @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/rpdyJpHuVt"
"1629","@davematt88 @BillPeriman @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/TALkGp0aEG"
"1630","If @KevinSpacey would have came out as a republican after his scandal house of cards would still be on."
"1631","@pcarenza @BillPeriman @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/9bjQ3FdrzS"
"1632","@davematt88 @BillPeriman @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/ISGLLaNXfb"
"1633","FREAKIN' AWESOME

.@RepGutierrez GONEÌ†æÌ¥°

.@JeffFlake GONE Ì†æÌ¥°

.@BobCorker aka ""Little Bob Corker"" GONE Ì†æÌ¥°

.‚Ä¶ https://t.co/bPgkhnu1yQ"
"1634","@BillPeriman @MadAtAdam_ @davematt88 @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/VxiA9We6kV"
"1635","@BillPeriman @pcarenza @MadAtAdam_ @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/xO8BNqgiOL"
"1636","@pcarenza @MadAtAdam_ @davematt88 @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @seanhannity‚Ä¶ https://t.co/RaaX853Jxk"
"1637","@TomSteyer Psst.. Hey Tom. This seems.. odd. Care to explain? 

@realDonaldTrump @LizCrokin @HillaryClinton‚Ä¶ https://t.co/RSMPSEC3vH"
"1638","@MadAtAdam_ @davematt88 @Orly_licious @TheGreatFeather @Fuctupmind @MyBrianLeyh @BillPeriman @seanhannity‚Ä¶ https://t.co/TkWvcfdy0o"
"1639","@vbeezs @Gruvedawg @Ambient2017 @OpenThePrimary @CarrieanneTX @TraffickReport2 @TheHoneybee_ @brittswoo‚Ä¶ https://t.co/LgIULSww46"
"1640","@WarriorforKids @Gruvedawg @Ambient2017 @OpenThePrimary @CarrieanneTX @TraffickReport2 @TheHoneybee_ @brittswoo‚Ä¶ https://t.co/CT4MOB1uYe"
"1641","@MightyBusterBro @AppSame @theglobaluniter @chic_savage @DebbieAAldrich @SweepsFox @JVER1 @Lrihendry @Patriot_Drew Forgot @KevinSpacey"
"1642","Hey @KevinSpacey how did you like the new episode of @KansasCast ?"
"1643","Hey @netflix do we have @KevinSpacey to thank for prices going up?"
"1644","@5HeadGaming @KevinSpacey Erm Kevin spacey"
"1645","@TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/A3ms5bRHUS"
"1646","@HangTraitors @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/Q9yCroHaon"
"1647","@KevinSpacey was a fan. Was. I'll be pawning any movies I own that you're in. Very disappointed. You should be ashamed of yourself."
"1648","@TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/RiHAz1gAAr"
"1649","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/gjmwGs0p5e"
"1650","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/GvEj4cPKx4"
"1651","@Jahmai11 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/GszhVnoerV"
"1652",".@officialmoz is a narcissistic egomaniac to think that led any movement, aside from defending degenerates like‚Ä¶ https://t.co/vGtVp9z4ZC"
"1653","@TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/Tb5MKnfPNZ"
"1654","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/Kx3HnrEAGW"
"1655","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/ZpLhbgBIMH"
"1656","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/pLVIPnGoQH"
"1657","@KevinSpacey @OfficialJLD your not even close to being a president. Your a pig from hell how could you ?"
"1658","Enjoy your cell you cut rate @KevinSpacey https://t.co/8reNGiQaAK"
"1659","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/EElja4cxKu"
"1660","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/Lqso9CyEUO"
"1661","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/NjqRBUds0k"
"1662","@TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/uSeqBeOYGI"
"1663","@KevinSpacey That was a thoughtfully honest introspective and sincere apology. The fact that people find fault with‚Ä¶ https://t.co/x3CUa4O7yK"
"1664","@TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/M2p0VdqhIQ"
"1665","@TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers @JoeBiden‚Ä¶ https://t.co/YiMvRoRfl2"
"1666","@TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers @JoeBiden‚Ä¶ https://t.co/NCoWkpMrOp"
"1667","Reading that @shesgottahaveit is empowering and other bullshit, but this sexualization shit is getting to be really‚Ä¶ https://t.co/0Erba3ey7u"
"1668","For all of you^^ @AlecBaldwin  @JMessner  @KevinSpacey @LarryDWilcox @LeoDiCaprio @LukeGoss  @mark_wahlberg‚Ä¶ https://t.co/Slr02Nnma4"
"1669","hey @netflix, will actively campaign for people to shift to @amazonvideo if you bring back @houseofcards s6 with‚Ä¶ https://t.co/Fb6Ox9Tq11"
"1670","@KevinSpacey https://t.co/PyKmyBVZls Top Movie Hollywood 2017"
"1671","@KevinSpacey @OfficialJLD https://t.co/PyKmyBVZls see Top Movies 2017"
"1672","@KevinSpacey https://t.co/PyKmyBVZls see Top Movies Name 2017"
"1673","@BLU3LESS Which would you rather shoot? A fox or @KevinSpacey ?"
"1674","@Aburukba_moe @KevinSpacey Ok I‚Äôve had enough"
"1675","Paint me like one of your French boys @KevinSpacey https://t.co/WHKE88kUEq"
"1676","@PatriotMarie @Joseph_Greely I wouldn't watch him with the eyes of my worst enemy/@KevinSpacey I loved him as an ac‚Ä¶ https://t.co/3pQbQ9Wljw"
"1677","If Kevin Spacey was a minion. @KevinSpacey https://t.co/jXJGlZHxoT"
"1678","NO #HouseOfCards without @KevinSpacey. It will be like the  @LOST ending Ì†ΩÌ∏° https://t.co/lXd7ZQNN0p"
"1679","Speaking of holding sexual predators accountable, why the double standard for @dannymasterson and @KevinSpacey,‚Ä¶ https://t.co/oxZB7Buy5b"
"1680","@ElNuevoDia #esc√°ndalo !!!! @HouseofCards without @KevinSpacey? Sorry, but we are NOT interested!‚Ä¶ https://t.co/vCxsJUTo4i"
"1681","@GMA @HouseofCards without @KevinSpacey ? Sorry, but I'm not interested! #Europeisnotinterested #SupportKevinSpacey‚Ä¶ https://t.co/RMAdgzIhlZ"
"1682","@LashaDardagany @HouseofCards @KevinSpacey I think the same! #SupportKevinSpacey Ì†ΩÌ∏é"
"1683","@Linda31582668 @IndieWire @KevinSpacey Typo. I meant sucks without @KevinSpacey"
"1684","@etnow Back when @KevinSpacey was known to the general public as just an Academy Award-winning actor, he offered th‚Ä¶ https://t.co/gzY0S92HDu"
"1685","@Linville34 @KevinSpacey He is a sick fuck"
"1686","@Rick_Filter @KevinSpacey Nothing, just saw one of his movies on Netflix figured I‚Äôd remind him how fucked up he is."
"1687","@Linville34 @KevinSpacey What he do now ?"
"1688","@TV12News @ScaryPerrySkate @BillCosby @KevinSpacey @TIME But Perry hasn't done anything this year but eat pasta, ta‚Ä¶ https://t.co/cPGByudyh2"
"1689","@DonaldJTrumpJr @KamVTV Just like they knew about @BillClinton and @HarveyWeinstein  and @KevinSpacey‚Ä¶ https://t.co/0Rt5FAXUR3"
"1690","@TV12News @ScaryPerrySkate @BillCosby @KevinSpacey @TIME Makes complete sense. I‚Äôm sure Peary wins no problem. Oh oh ohhh!"
"1691","Sick fuck @KevinSpacey"
"1692","@KevinSpacey Crooked Democrat In @HouseofCards; Spacey Goes; So Must #Fannie &amp; #Freddie NetWorth Sweep! Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ΩÌ±è Ì†ºÌø°‚Ä¶ https://t.co/U1BLVb745k"
"1693","@josiah1976 @MTReserved @hottiecaliente @Wayne74531401 @AmberRaine6 @writemombritt @Paco_Bell__ You gotta stop usin‚Ä¶ https://t.co/tt11vByoTu"
"1694","Morrissey @officialmoz defends his comments suggesting that perhaps @KevinSpacey has ‚Äúbeen unnecessarily attacked‚Äù‚Ä¶ https://t.co/gCVTPDkCrT"
"1695","From a queer person with autism and no history of sexually assaulting others - pls fuck right off  @KevinSpacey and @burkedon"
"1696","@TanutoDX @KevinSpacey Look at him now"
"1697","@NBCNews @maggieNYT Now @johnpodesta and @KevinSpacey"
"1698","@LarrySchweikart @CashBama That is a really good show tooÌ†ΩÌ∏í DAMN YOU @KevinSpacey"
"1699","@TV12News @ScaryPerrySkate @BillCosby @KevinSpacey @TIME Well seeing that it‚Äôs time magazine, I‚Äôm sure it will be K‚Ä¶ https://t.co/CeD4zsC2Wv"
"1700","BREAKING: Inside sources tell us @ScaryPerrySkate, @BillCosby, &amp; @KevinSpacey are in the running to be @TIME Magazine's Person of the Year."
"1701","@KevinSpacey, stay true to yourself, your apology was filled with sincere regret.  As a younger man you made mistak‚Ä¶ https://t.co/chhYWY2BxU"
"1702","I clicked to follow @KevinSpacey on Twitter. @jeremypiven was suggested next (obvious reasons right now), as was‚Ä¶ https://t.co/hsgM6cWeLg"
"1703","@baileyjer @nytimes In this age of #HarveyWeinstein and @KevinSpacey this article is unambiguously disgusting.‚Ä¶ https://t.co/txLlMMqz9S"
"1704","@KevinSpacey @KevinSpacey I still think you are an amazing actor. Thank God we don't all live in the spotlight and‚Ä¶ https://t.co/wuK5qvkyoN"
"1705","@AshleyKalynn @Andy @JohnMayer @Andy wow your hair is reminiscent of @KevinSpacey. Grab some product sweetie."
"1706","@KevinSpacey You Can't justify or excuse these actions."
"1707","@KevinSpacey you suck."
"1708","@BRENDA5000 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC @charliesheen And your lord and mast‚Ä¶ https://t.co/UJYa703aoh"
"1709","Cuse won but in other news I had a dream that @KevinSpacey tried to kill me last night"
"1710","@THR @Variety @DEADLINE @CNN @RonanFarrow @BBCWorld @MissKobayashl @EmmaPeel_Knight @ChasingSpacey Dustin Hoffman i‚Ä¶ https://t.co/CS1RMZdbsU"
"1711","@BRENDA5000 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC @charliesheen You back a fucking ped‚Ä¶ https://t.co/zwoMmnbV5n"
"1712","@magtell @00sa @KevinSpacey I‚Äôd still smash. Is that bad?"
"1713","For those of us climbing to the top of the food chain, there can be no mercy. There is but one rule: Hunt or be hun‚Ä¶ https://t.co/FPJLzdFjHp"
"1714","@claireyissweary Sounds like Don Burke is doing the ""kevin spacey"" @KevinSpacey tried throwing his guilt under an '‚Ä¶ https://t.co/YRn59nuHRQ"
"1715","I don't dislike Armie Hammer, but the ""good ones"" don't just quit Twitter when a Buzzfeed article is negative about‚Ä¶ https://t.co/tQDkNSRlXh"
"1716","@OpenThePrimary @CarrieanneTX @TraffickReport2 @TheHoneybee_ @brittswoo @WarriorforKids @Gruvedawg @MayFlowers90‚Ä¶ https://t.co/ird3tWymaN"
"1717","@PaulyDeathwish @WarriorforKids @Ambient2017 @Gruvedawg @OpenThePrimary @CarrieanneTX @TraffickReport2‚Ä¶ https://t.co/6kaePmnA1Y"
"1718","@e_sibe @KevinSpacey *shakes paw angrily*"
"1719","@mugsbubs1 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC @charliesheen Well, as usual- Dems on‚Ä¶ https://t.co/dMWpjxb7ew"
"1720","So he is the ""But I'm furry"" version of @KevinSpacey https://t.co/UEllJuHvO2"
"1721","@BRENDA5000 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC @charliesheen But YOU support a PEDO‚Ä¶ https://t.co/EYPiYzRUwV"
"1722","@BRENDA5000 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC Gee... Roy Moore is still in denial!‚Ä¶ https://t.co/2h4TExTfJa"
"1723","So @KevinSpacey pretty much https://t.co/iAM6U7aNi1"
"1724","@KevinSpacey ur mom gay"
"1725","@nep1usultra @IndieWire @KevinSpacey That maybe so but everyone came be replaced. We need to think about our action‚Ä¶ https://t.co/chyDF2aevK"
"1726","@KevinSpacey House of Card without Kevin Spacey ! What is the fucking point. You are Francis Underwood although Fra‚Ä¶ https://t.co/swUnKi3px6"
"1727","@KevinSpacey Even if these allegations turnout to be false, Spacey caused damaged to himself with the response that‚Ä¶ https://t.co/08KiCr3HSU"
"1728","@Gruvedawg @hollylandes @PiGranny @TheWantedEmcees @cosmeclaire @WarriorforKids @ElisaYoder @hangthepedos‚Ä¶ https://t.co/tLuK8VLgqf"
"1729","@netflix @dannymasterson is still working. Why @KevinSpacey can work again on @HouseofCards? Disgusting how Netflix‚Ä¶ https://t.co/1DXuogCjcp"
"1730","@thisisinsider There is no @HouseofCards without @KevinSpacey. He needs to return. @netflix @THR @BBCWorld @CNN‚Ä¶ https://t.co/t004JtBbSC"
"1731","Will @KevinSpacey‚Äôs #career float again, or is it #tanked forever? See what #crisis #PR pro, @caminopr President El‚Ä¶ https://t.co/SR2AlWlZuk"
"1732","Theres no House of Cards without @KevinSpacey Ì†æÌ¥∑Ì†ºÌøº‚Äç‚ôÇÔ∏è #bringhimback https://t.co/HUIcs2O4ye"
"1733","@thisisinsider @HouseofCards without @KevinSpacey? Sorry, but I'm also NOT interested!
#SupportKevinSpacey‚Ä¶ https://t.co/3uzI1lw2M6"
"1734","@HouseofCards without @KevinSpacey? Sorry, but I'm also NOT interested!
#SupportKevinSpacey #KevinSpacey‚Ä¶ https://t.co/1kWENXKXyJ"
"1735","@CourtneyGBerg @KevinSpacey Hmmmmmm why?"
"1736","Twitter is still suggesting @KevinSpacey as someone I should follow... That's going to be a hard no. https://t.co/mob8NnPVJ6"
"1737","@KevinSpacey you're not sick and you don't need help. Don't let these people scare you away. I have so much respect‚Ä¶ https://t.co/S2PaSxxCgT"
"1738","@Cyrilorme3 @SpenserHickey @ResistntRedhead @Papa_Fish_NYC @GPollowitz @benshapiro He‚Äôs still more likely to be cast than @KevinSpacey Ì†æÌ¥£"
"1739","@KevinSpacey Bonjour monsieur Spacey. I am disappointed by all these allegations that afflict you. I do not underst‚Ä¶ https://t.co/OMKKF3Wg1h"
"1740","@KevinSpacey Innocent until proven guilty."
"1741","@ThinkingWeasel @ACJJustice @CindyLCoulter3 @KevinSpacey They both are"
"1742","‚ÄúIf at first you don‚Äôt succeed, try try try try try try try try try try again!‚Äù

@KevinSpacey"
"1743","@ZincAddict @ACJJustice @CindyLCoulter3 @KevinSpacey Ugh... and thats saying something, considering that he's a pedophile."
"1744","SOCIAL MEDIAÌ†ΩÌ±â Censorship backfires‚úî
YouTube continues to allow ChildPorn‚úî
Facebook throws DML in Jail 4 two Weeks‚úî‚Ä¶ https://t.co/UnbbkZgQsX"
"1745","@VendraminiRicky @SharonW20023254 @DiagonalDoug @LElizaBria @BillClinton @christuckerreal @KevinSpacey I think you‚Äô‚Ä¶ https://t.co/HTxPW0qtRL"
"1746","@ThinkingWeasel @ACJJustice @CindyLCoulter3 @KevinSpacey is more presidential than dotard."
"1747","@ZackCar @SharonW20023254 @DiagonalDoug @LElizaBria @BillClinton @christuckerreal @KevinSpacey I'm not sure I want to know"
"1748","Did #DonBurke learn nothing from @KevinSpacey and his appalling ""apology""? https://t.co/jRdBEvXU8f"
"1749","@Sheena655321 @KevinSpacey You're still a monster."
"1750","@caterita2008 @KevinSpacey If you're a troll, that's a very lame comment. If you're serious, that's really sad. Either way, peace out. ‚úå"
"1751","@MooreSenate Probably about 1/4  as many people as @KevinSpacey has murdered and groped"
"1752","@mugsbubs1 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC @charliesheen Last but not least Horn‚Ä¶ https://t.co/cppwBvMj6x"
"1753","@KevinSpacey I dont care what the people say or the media i dont believe what they say.i want to be your boyfriend‚Ä¶ https://t.co/vxz8FngvWx"
"1754","Horrible but not surprising to see #DonBurke using @KevinSpacey-like tactics and blaming his alleged sexual assault‚Ä¶ https://t.co/6EZgfvJwqc"
"1755","@mugsbubs1 @JackPosobiec @RepAdamSchiff @tedlieu @KevinSpacey @alfranken @DNC And lets not forget the Paragons of V‚Ä¶ https://t.co/s5fGFzvjV2"
"1756","@hilobill @QueenOpara1luv @LauraLoomer @BillClinton @KevinSpacey I got one question for you.
How did this, or any o‚Ä¶ https://t.co/Dfd40OAgqy"
"1757","@Sheena655321 @KevinSpacey You're a monster"
"1758","@mugsbubs1 @JackPosobiec @RepAdamSchiff @tedlieu But remember @KevinSpacey Harvey Weinstein, @alfranken Rep Conyers  all‚Äî-&gt; @DNC PERVERTS."
"1759","Fuck you, @KevinSpacey https://t.co/WpTSUth6x9"
"1760","@KevinSpacey, this is what real bravery looks like https://t.co/fyozA48zIf"
"1761","@WarriorforKids @PedosbeAfraid @cosmeclaire @Ambient2017 @Gruvedawg @OpenThePrimary @CarrieanneTX @TraffickReport2‚Ä¶ https://t.co/L5J5kst3Db"
"1762",".@HouseofCards expected to resume filming, without lead actor @KevinSpacey https://t.co/LXuyEPrc3R https://t.co/rMSAgtCkiq"
"1763","So @jack @Twitter still keeping accounts for @HarveyWeinstein @KevinSpacey and @BillClinton , all proven rapists/pe‚Ä¶ https://t.co/T42FX5POLV"
"1764","@Minesota #Conyers @SenFranken @HarveyWeinstein @KevinSpacey Hey Franken these are men you're associated with now.‚Ä¶ https://t.co/uFEhEldUM9"
"1765","@DTickner_ @KevinSpacey I do not plan. I only win"
"1766","@m14gaff @KevinSpacey Was this planned?"
"1767","@THR Al Franken returns to work, Adam Venit returns to work @dannymasterson is still working and @KevinSpacey is fi‚Ä¶ https://t.co/BvQ2P2T087"
"1768","Boy, the left have blanket dementia when it comes to remembering things, @alfranken , @KevinSpacey, @HarveyWeinstein https://t.co/kaQ1cpTJoN"
"1769","@LauraLoomer @BillClinton @KevinSpacey Was it consensual? Is ‚Äúgay sex‚Äù illegal?"
"1770","@thisisinsider @kevinspacey .@morrissey
it's a whole network of them #band
is it Monday yet?! 
oh wait it is monday... lol"
"1771","@mizzcheef @KevinSpacey Be strong @KevinSpacey! I support you. Allegations are only allegations, and everybody run‚Ä¶ https://t.co/CRJ90jyspi"
"1772","I no longer can trust @KevinSpacey so Congratulations @RealHughJackman for becoming my new favorite actor, since I‚Ä¶ https://t.co/XyaZwtsUlv"
"1773","In retrospect, @charlierose gave a new meaning to the term #SafeSpace when he had @KevinSpacey @SenFranken &amp;‚Ä¶ https://t.co/4O1q2ZavJu"
"1774","@elizaga12 @netflix @KevinSpacey @HouseofCards Plus: he hasn‚Äôt been judged, yet. Nor proven guilty. You@Netflix don‚Ä¶ https://t.co/zqw9HoXz8P"
"1775","@JackPosobiec @Sethrogen Wow pussy @Sethrogen went completely dark after that tweet. His ilk support known pedophil‚Ä¶ https://t.co/Ctz5QV6MPX"
"1776","'House of Cards' resumes filming without @KevinSpacey https://t.co/V5iNcEtM0A https://t.co/ONhmMiQNYA"
"1777","@netflix we want @KevinSpacey again on @HouseofCards it's ridiculous believe on this allegations against him. Pure‚Ä¶ https://t.co/RHPZMchqRA"
"1778","@DonaldJTrumpJr It may be the first time I've actually seen a viable statement out of the press. But its @THR and t‚Ä¶ https://t.co/TTBjhg5Mm3"
"1779","@Sir_RidleyScott @KevinSpacey Perhaps I should add this tag #isupportkevinspacey"
"1780","@DonaldJTrumpJr #Morrissey Mind Your Own Business-You are NOT Fully Informed about the @HarveyWeinstein‚Ä¶ https://t.co/6HNNQKlfhY"
"1781","@netflix Why cut ties with @KevinSpacey and @LouisCKlive but keep @dannymasterson? Is @LeahRemini on to something?"
"1782","@BeauWillimon why you don't follow @KevinSpacey? But you follow Al Franken. Serious do you believe on this false al‚Ä¶ https://t.co/dmP1twSsPb"
"1783","@Ronald4134 @reviewjournal @KevinSpacey @TheEllenShow where‚Äôs your moral high ground?"
"1784","@jakebgreen2 @MooreSenate So glad that revolting, callous, self-righteous sneer is being knocked out of him.
Never‚Ä¶ https://t.co/b02uOOgbHy"
"1785","@HouseofCards @KevinSpacey  even do not think continu√© with out him Ì†ΩÌ∏ñÌ†ΩÌ≤Ä he is all Ì†ΩÌ≤ô"
"1786","u got a good point @KevinSpacey https://t.co/iZgPLGBsWI"
"1787","@KevinSpacey No matter what they say about you and what you should have done in the past. In my eyes you are one of‚Ä¶ https://t.co/0ku0SaHvsk"
"1788","@KevinSpacey U sick twisted person hope u go to jail and drop the soap behind a gangster"
"1789","I found a device that will alert you when people like Roy Moore and Kevin Spacey are nearby

@MooreSenate‚Ä¶ https://t.co/pJX1jBrVJs"
"1790","If @KevinSpacey actually was POTUS or a US Senator, he would still have his job."
"1791",".@RepJohnConyers and @alfranken are both at work today in the Congress. Same can‚Äôt be said for @MarkHalperin,‚Ä¶ https://t.co/tipF4biOjQ"
"1792","@RepJohnConyers, @BillClinton, @HarveyWeinstein @_AnthonyWeiner,@KevinSpacey, @TheSlyStallone, @MooreSenate,‚Ä¶ https://t.co/zNOl1p76cJ"
"1793","@KevinSpacey  getting fed up with the witch hunt. Innocent till proven guilty. You have great support from us who are rational x"
"1794","Watched ...

#LAConfidential  !!

@KevinSpacey @russellcrowe"
"1795","@RealRobinWright what do you think of @KevinSpacey situation?"
"1796","@KevinSpacey hey Kevin Ì†ΩÌ±ã just send some money my way so the dms won‚Äôt be released Ì†æÌ¥®"
"1797","@drjewest @SenFranken @realDonaldTrump @BillOReilly @MooreSenate @KevinSpacey You can make up lists about anything, can't you, Jim."
"1798","Say what you will about the @KevinSpacey story; one thing it proves is that there is a dude named Tony Montana who's a giant pussy..."
"1799","@dmarlow2323 @LauraLoomer @BillClinton @KevinSpacey @seanhannity @RealAlexJones @infowars @Cernovich I hope so"
"1800","@dmarlow2323 @LauraLoomer @BillClinton @KevinSpacey @seanhannity @RealAlexJones @infowars @Cernovich I hop so.."
"1801","SO, that explains #HarveyWeinstein, @alfranken, @BillClinton, @charlierose, @RepJohnConyers, @KevinSpacey,‚Ä¶ https://t.co/URQyWgf6PO"
"1802","I will be skipping the last season of #HouseOfCards on @Netflix. Not necessarily because I support @KevinSpacey, bu‚Ä¶ https://t.co/8Ko2MKIjGB"
"1803","@torijelinek @LauraLoomer @NoniMovie @BillClinton @KevinSpacey @seanhannity @RealAlexJones @infowars @Cernovich FAK‚Ä¶ https://t.co/Ct7E5oEBEF"
